Name,Version,Summary,License,Homepage
a2ps,4.14,GNU a2ps,GPLv3,http://www.gnu.org/software/a2ps
abcm2ps,8.13.5,ABC to PostScript,GPL,http://moinejf.free.fr
abcmidi,2015.08.11,abcMIDI,GPLv2,http://ifdo.pugmarks.com/%7Eseymour/runabc/top.html
abnfgen,0.17,abnfgen,Freeware?,http://www.quut.com/abnfgen
ack,2.20,Ack!,Artistic License,http://beyondgrep.com
aewan,1.0.01,Aewan,GPLv2,https://sourceforge.net/projects/aewan
apr,1.5.2,Apache Portable Runtime,Apache License,http://apr.apache.org
apr-util,1.5.4,Apache Portable Runtime Utility,Apache License,http://apr.apache.org
argtable,2.13,Argtable,LGPL,http://argtable.sourceforge.net
aria2,1.31.0,aria2,GPL,https://aria2.github.io
arp-scan,1.9,Arp Scan,GPL,http://www.nta-monitor.com/tools-resources/security-tools/arp-scan
asciidoc,8.6.9,AsciiDoc,GPL,http://www.methods.co.nz/asciidoc
aspell,0.60.6.1,GNU Aspell,LGPL,http://aspell.net
astyle,2.06,Artistic Style,LGPL,http://astyle.sourceforge.net
autoconf,2.69,GNU Autoconf,GPLv3+,https://www.gnu.org/software/autoconf
automake,1.16.1,GNU Automake,GPLv2,https://www.gnu.org/software/automake
autossh,1.4e,autossh,Unknown (Freeware),http://www.harding.motd.ca/autossh
axel,2.4,Axel Download Accelerator,GPL,http://axel.alioth.debian.org
bash,4.4,GNU Bash,GPLv3,http://www.gnu.org/software/bash
bash-completion,2.7,Bash Completion,GPL,https://github.com/scop/bash-completion
bc,1.07.1,Arbitrary precision numeric language,GPLv3,https://www.gnu.org/software/bc
bip,0.8.9,Bip,GPL,http://bip.milkypond.org
bison,3.3.2,GNU bison,GPLv3,https://www.gnu.org/software/bison
bmake,20170812,bmake,BSD,http://crufty.net/help/sjg/bmake.html
boost,1.72.0,Boost C++ Libraries,Boost Software License,http://www.boost.org
bootstrap,3.3.7,Bootstrap,MIT,http://getbootstrap.com
bvi,1.4.0,Bvi,GPL,http://bvi.sourceforge.net
bzr,2.7.0,Bazaar,GPLv2,https://bazaar.canonical.com
cabextract,1.6,Cabextract,GPL,http://www.cabextract.org.uk
cadaver,0.23.3,Cadaver,GPL,http://www.webdav.org/cadaver
cairo,1.14.12,Cairo,LGPL,http://cairographics.org
cassandra,3.10,Apache Cassandra,Apache License,http://cassandra.apache.org
ccache,3.7.7,Compiler cache,GPLv3+,https://ccache.dev
cflow,1.4,GNU cflow,GPL,http://www.gnu.org/software/cflow
check,0.11.0,Check,LGPL,https://libcheck.github.io/check
clisp,2.49,CLISP,GPL,http://www.clisp.org
clojure,1.8.0,Clojure,Eclipse Public License,http://clojure.org
cmake,3.13.4,CMake,BSD,https://cmake.org
cntlm,0.92.3,NTLM Authentication Proxy,GPLv2,http://cntlm.sourceforge.net
colordiff,1.0.16,ColorDiff,GPL,http://www.colordiff.org
coreutils,8.30,GNU Core Utilities,GPLv3,https://www.gnu.org/software/coreutils
cscope,15.8b,Cscope,BSD,http://cscope.sourceforge.net
ctags,5.8,Exuberant Ctags,GPL,http://ctags.sourceforge.net
ctemplate,2.2,CTemplate,BSD,https://github.com/olafvdspek/ctemplate
